gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
err844030_ms_1_36	terminase	Terminase	assembly.capsid	putative Terminase large subunit	VOG4544	2.6e-06	23.7	terminase large subunit	terminase large subunit	G-putative Terminase large subunit
err844030_ms_1_37				unknown	VOG2166	0.0017	14.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_38				unknown						G-unknown
err844030_ms_1_39				unknown						G-unknown
err844030_ms_1_40				unknown	VOG0281	0.0013	15.2	Abc2	Abc2 protein	P-Abc2
err844030_ms_1_41	dUTP			unknown	VOG0085	3.8999999999999996e-32	107.4	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	P-deoxyuridine 5'-triphosphate nucleotidohydrolase
err844030_ms_1_42				unknown	VOG1254	7.2e-25	83.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_43				unknown	VOG3488	2.3e-10	36.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_44				unknown						G-unknown
err844030_ms_1_45				unknown						G-unknown
err844030_ms_1_46				unknown	VOG0760	0.00022	18.0	unknown	unknown	P-unknown
err844030_ms_1_47				unknown	VOG3586	0.00057	15.6	chromosome partitioning	putative chromosome partitioning protein	P-chromosome partitioning
err844030_ms_1_48				unknown						G-unknown
err844030_ms_1_49				unknown						G-unknown
err844030_ms_1_50				unknown						G-unknown
err844030_ms_1_51				unknown						G-unknown
err844030_ms_1_52				unknown						G-unknown
err844030_ms_1_53				unknown	VOG8956	2.4e-05	20.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_54				unknown						G-unknown
err844030_ms_1_55				unknown						G-unknown
err844030_ms_1_56				unknown						G-unknown
err844030_ms_1_57				unknown	VOG11083	0.0083	12.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_58				unknown	VOG8823	0.0037	13.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_59				unknown	VOG10561	0.026000000000000002	10.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_60				unknown						G-unknown
err844030_ms_1_61				unknown						G-unknown
err844030_ms_1_62				unknown						G-unknown
err844030_ms_1_63				unknown	VOG5142	2.9999999999999997e-05	20.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_64				unknown	VOG9078	0.0066	12.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_65				unknown	VOG4813	1.3e-08	30.8	HNH endonuclease	hypothetical protein	P-HNH endonuclease
err844030_ms_1_66				unknown						G-unknown
err844030_ms_1_67				unknown						G-unknown
err844030_ms_1_68				unknown	VOG5250	0.0059	12.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_69				unknown						G-unknown
err844030_ms_1_70				unknown	VOG10956	0.0018	14.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_71				unknown						G-unknown
err844030_ms_1_72				unknown	VOG5409	0.00073	15.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_73				unknown						G-unknown
err844030_ms_1_74				unknown						G-unknown
err844030_ms_1_75				unknown						G-unknown
err844030_ms_1_76				unknown						G-unknown
err844030_ms_1_77				unknown	VOG8506	1.7000000000000002e-17	60.2	similar to RNA polymerase ECF-type sigma factor	similar to RNA polymerase ECF-type sigma factor	P-similar to RNA polymerase ECF-type sigma factor
err844030_ms_1_78				unknown						G-unknown
err844030_ms_1_79				unknown						G-unknown
err844030_ms_1_80				unknown	VOG1871	0.0051	12.7	unknown	NudE nudix hydrolase	P-unknown
err844030_ms_1_81				unknown						G-unknown
err844030_ms_1_82				unknown	VOG9199	0.00016999999999999999	17.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_83				unknown	VOG5262	0.0025	14.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_84				unknown						G-unknown
err844030_ms_1_85	PolB	PolB	replication	putative DNA polymerase family B	VOG4577	3.9e-34	114.5	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
err844030_ms_1_86	gene40b	Rep_Org , putative replisome organizer protein 		unknown						Y-Rep_Org , putative replisome organizer protein 
err844030_ms_1_87	gene41b	phage replicative helicase, DnaB family		unknown	VOG0025	5.4000000000000005e-18	62.2	DNA helicase	putative DNA helicase	Y-phage replicative helicase, DnaB family
err844030_ms_1_88				unknown						G-unknown
err844030_ms_1_89	gene43b	AAA domain ATPase		unknown	VOG0322	3.9e-24	82.1	unknown	hypothetical protein	Y-AAA domain ATPase
err844030_ms_1_90				unknown	VOG0525	0.0009400000000000001	15.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_91	primase	DnaG family primase	replication	putative DnaG family primase	VOG4341	6.8e-05	17.1	DNA primase domain-containing	DNA primase domain-containing protein	G-putative DnaG family primase
err844030_ms_1_92				unknown	VOG1573	0.00098	15.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_93				unknown	VOG0157	3.7999999999999996e-44	146.8	phosphoesterase	hypothetical protein	P-phosphoesterase
err844030_ms_1_94				unknown						G-unknown
err844030_ms_1_95	gene48b	Uncharacterized protein 48b		unknown	VOG0536	8.599999999999999e-14	48.0	unknown	hypothetical protein	Y-Uncharacterized protein 48b
err844030_ms_1_96				unknown						G-unknown
err844030_ms_1_97				unknown						G-unknown
err844030_ms_1_98				unknown	VOG3241	6.1e-15	51.6	Ser/Thr  phosphatase family	Ser/Thr protein phosphatase family protein	P-Ser/Thr  phosphatase family
err844030_ms_1_99				unknown						G-unknown
err844030_ms_1_100	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG4708	1.8000000000000002e-16	56.7	exodeoxyribonuclease VIII	RecE	G-putative PD-(D/E)XK superfamily nuclease
err844030_ms_1_101				unknown	VOG1319	0.001	14.3	major head	major head protein	P-major head
err844030_ms_1_102				unknown	VOG8408	0.00044	16.2	unknown	hypothetical protein	P-unknown
err975045_s_1_1				unknown	VOG4145	0.002	14.1	unknown	hypothetical protein	P-unknown
err975045_s_1_2				unknown						G-unknown
err975045_s_1_3				unknown	VOG10334	3.7e-23	78.4	unknown	hypothetical protein	P-unknown
err975045_s_1_4				unknown	VOG4184	0.0075	12.5	unknown	hypothetical protein	P-unknown
err975045_s_1_5	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG2848	1.1e-58	194.8	AddA-like	AddA-like protein	G-putative PD-(D/E)XK superfamily nuclease
err975045_s_1_6	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
err975045_s_1_7				unknown						G-unknown
err975045_s_1_8				unknown						G-unknown
err975045_s_1_9				unknown						G-unknown
err975045_s_1_10				unknown						G-unknown
err975045_s_1_11				unknown						G-unknown
err975045_s_1_12				unknown	VOG0287	0.0002	17.0	superinfection exclusion  B	superinfection exclusion protein B	P-superinfection exclusion  B
err975045_s_1_13				unknown						G-unknown
err975045_s_1_14				unknown						G-unknown
err975045_s_1_15				unknown						G-unknown
err975045_s_1_16				unknown	VOG6127	0.00028	17.3	unknown	hypothetical protein	P-unknown
err975045_s_1_17				unknown	VOG9493	0.0076	12.6	holin	holin	P-holin
err975045_s_1_18				unknown						G-unknown
err975045_s_1_19				unknown						G-unknown
err975045_s_1_20				unknown						G-unknown
err975045_s_1_21				unknown	VOG5357	9.800000000000001e-06	21.5	unknown	hypothetical protein	P-unknown
err975045_s_1_22				unknown						G-unknown
err975045_s_1_23				unknown						G-unknown
err975045_s_1_24				unknown						G-unknown
err975045_s_1_25				unknown						G-unknown
err975045_s_1_26				unknown						G-unknown
err975045_s_1_27				unknown						G-unknown
err975045_s_1_28				unknown						G-unknown
err975045_s_1_29				unknown	VOG7041	0.0017	14.6	unknown	hypothetical protein	P-unknown
err975045_s_1_30				unknown						G-unknown
err975045_s_1_31				unknown	VOG0709	0.00054	16.3	unknown	hypothetical protein	P-unknown
err975045_s_1_32				unknown						G-unknown
err975045_s_1_33				unknown						G-unknown
err975045_s_1_34				unknown						G-unknown
err975045_s_1_35	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	6.999999999999999e-64	212.7	DNA helicase	DNA helicase	G-putative SF1 helicase
err975045_s_1_36				unknown						G-unknown
err975045_s_1_37				unknown						G-unknown
err975045_s_1_38				unknown						G-unknown
err975045_s_1_39	UDG	UDG	replication	putative Uracyl-DNA glycosylase						G-putative Uracyl-DNA glycosylase
err975045_s_1_40	PolB	PolB	replication	putative DNA polymerase family B	VOG4577	3.5999999999999997e-35	117.9	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
err975045_s_1_41	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif	VOG5754	0.005	13.0	unknown	hypothetical protein	G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
err975045_s_1_42	gene19	RecT	replication	putative RecT, phage RecT recombinase	VOG4360	5.2000000000000004e-05	19.1	unknown	hypothetical protein	G-putative RecT, phage RecT recombinase
err975045_s_1_43	gene20	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
err975045_s_1_44	gene21	ssb 	replication	putative ssb single stranded DNA-binding protein	VOG6595	0.017	11.4	unknown	hypothetical protein	G-putative ssb single stranded DNA-binding protein
err975045_s_1_45	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
err975045_s_1_46	gene23	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
err975045_s_1_47				unknown	VOG4486	0.00023999999999999998	16.7	unknown	hypothetical protein	P-unknown
err975045_s_1_48	ligase25			unknown	VOG0018	5.699999999999999e-33	110.7	DNA ligase	DNA ligase	P-DNA ligase
err975045_s_1_49				unknown	VOG0469	0.0038	13.3	unknown	hypothetical protein	P-unknown
err975045_s_1_50				unknown						G-unknown
err975045_s_1_51				unknown	VOG6363	4.9000000000000005e-06	22.0	unknown	hypothetical protein	P-unknown
err975045_s_1_52				unknown						G-unknown
err975045_s_1_53				unknown						G-unknown
err975045_s_1_54				unknown	VOG4966	5.500000000000001e-20	67.7	unknown	hypothetical protein	P-unknown
err975045_s_1_55	ThyX			unknown	VOG4561	5.1e-15	52.0	thymidylate synthase	thymidylate synthase	P-thymidylate synthase
err975045_s_1_56				unknown						G-unknown
err975045_s_1_57				unknown	VOG0623	0.0017	13.7	unknown	hypothetical protein	P-unknown
err975045_s_1_58	gene32	Siphovirus Gp157 homolog	replication	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor	VOG0321	7.4e-13	44.8	unknown	hypothetical protein	G-putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor
err975045_s_1_59				unknown	VOG10535	0.0011	15.1	unknown	hypothetical protein	P-unknown
err975045_s_1_60				unknown						G-unknown
err975045_s_1_61	gene34	Uncharacterized protein	replication	putative Protein of unknown function (DUF932)	VOG2486	3.3999999999999997e-59	196.9	unknown	hypothetical protein	G-putative Protein of unknown function (DUF932)
err975045_s_1_62				unknown						G-unknown
err975045_s_1_63				unknown	VOG10088	0.0036	13.8	DNA primase	DNA primase	P-DNA primase
err975045_s_1_64	dUTP			unknown	VOG0085	2.2e-17	59.5	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	P-deoxyuridine 5'-triphosphate nucleotidohydrolase
err975045_s_1_65				unknown	VOG10089	0.0018	14.8	unknown	hypothetical protein	P-unknown
err975045_s_1_66				unknown	VOG4549	0.0026	14.5	glutaredoxin	glutaredoxin	P-glutaredoxin
err975045_s_1_67				unknown	VOG3829	0.0021	14.4	unknown	hypothetical protein	P-unknown
err975045_s_1_68				unknown						G-unknown
err975045_s_1_69				unknown						G-unknown
err975045_s_1_70				unknown						G-unknown
err975045_s_1_71	gene49	Uncharacterized protein		unknown	VOG4565	0.00033	16.7	lysozyme	lysozyme	P-lysozyme
err975045_s_1_72				unknown	VOG5755	0.18	8.3	unknown	hypothetical protein	P-unknown
err975045_s_1_73	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG8945	0.004	13.2	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
err975045_s_1_74	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
err975045_s_1_75	gene53	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein	VOG0316	0.023	11.2	unknown	hypothetical protein	G-putative Integration host factor IHF subunit, histone-like protein
err975045_s_1_76	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
err975045_s_1_77				unknown						G-unknown
err975045_s_1_78				unknown	VOG1863	0.00021	17.8	unknown	hypothetical protein	P-unknown
err975045_s_1_79				unknown						G-unknown
err975045_s_1_80				unknown						G-unknown
err975045_s_1_81				unknown	VOG2401	0.011000000000000001	12.0	unknown	hypothetical protein	P-unknown
err975045_s_1_82				unknown	VOG6644	0.0019	15.0	unknown	hypothetical protein	P-unknown
err975045_s_1_83				unknown						G-unknown
err975045_s_1_84				unknown						G-unknown
err975045_s_1_85				unknown						G-unknown
err975045_s_1_86				unknown	VOG8774	0.0007700000000000001	15.4	unknown	hypothetical protein	P-unknown
err975045_s_1_87				unknown						G-unknown
err975045_s_1_88				unknown	VOG6373	0.013999999999999999	9.8	minor tail	minor tail protein	P-minor tail
err975045_s_1_89				unknown						G-unknown
err975045_s_1_90				unknown	VOG7999	0.0012	14.9	unknown	hypothetical protein	P-unknown
err975045_s_1_91				unknown	VOG1485	0.0019	13.9	unknown	hypothetical protein	P-unknown
err975045_s_1_92				unknown						G-unknown
err975045_s_1_93				unknown						G-unknown
err975045_s_1_94				unknown						G-unknown
err975045_s_1_95	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err975045_s_1_96	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
err975045_s_1_97	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
err975045_s_1_98	gene77	putative structural protein	assembly.capsid	unknown	VOG6061	0.00018	18.1	unknown	hypothetical protein	Y-putative structural protein
err975045_s_1_99	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
err975045_s_1_100	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
err975045_s_1_101				unknown						G-unknown
err975045_s_1_102				unknown	VOG4145	0.0049	12.8	unknown	hypothetical protein	P-unknown
fferm_ms_11_1				unknown						G-unknown
fferm_ms_11_2				unknown						G-unknown
fferm_ms_11_3				unknown	VOG9060	0.0088	12.2	unknown	hypothetical protein	P-unknown
fferm_ms_11_4				unknown						G-unknown
fferm_ms_11_5				unknown						G-unknown
fferm_ms_11_6				unknown						G-unknown
fferm_ms_11_7				unknown						G-unknown
fferm_ms_11_8	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
fferm_ms_11_9	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
fferm_ms_11_10	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
fferm_ms_11_11	gene77	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
fferm_ms_11_12				unknown						G-unknown
fferm_ms_11_13				unknown						G-unknown
fferm_ms_11_14				unknown						G-unknown
fferm_ms_11_15				unknown						G-unknown
fferm_ms_11_16				unknown	VOG3488	2.0000000000000002e-11	40.0	unknown	hypothetical protein	P-unknown
fferm_ms_11_17				unknown	VOG8232	0.0096	12.8	unknown	hypothetical protein	P-unknown
fferm_ms_11_18				unknown						G-unknown
fferm_ms_11_19				unknown	VOG5787	3.9999999999999995e-15	51.7	unknown	hypothetical protein	P-unknown
fferm_ms_11_20				unknown	VOG9091	8.900000000000001e-06	22.5	unknown	hypothetical protein	P-unknown
fferm_ms_11_21				unknown						G-unknown
fferm_ms_11_22				unknown	VOG3129	0.0022	14.0	unknown	hypothetical protein	P-unknown
fferm_ms_11_23				unknown	VOG10954	0.0033	13.7	unknown	hypothetical protein	P-unknown
fferm_ms_11_24				unknown	VOG10065	1.3e-08	31.0	gp18.5	gp18.5	P-gp18.5
fferm_ms_11_25				unknown	VOG5504	1.2e-16	57.3	unknown	hypothetical protein	P-unknown
fferm_ms_11_26	portal	Portal	assembly.capsid	putative Portal protein	VOG8332	0.012	12.6	unknown	hypothetical protein	G-putative Portal protein
fferm_ms_11_27	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
fferm_ms_11_28				unknown						G-unknown
fferm_ms_11_29	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
fferm_ms_11_30				unknown	VOG8742	0.0043	13.6	chaperonin cpn10	chaperonin cpn10	P-chaperonin cpn10
fferm_ms_11_31				unknown	VOG6022	0.0031	13.3	unknown	hypothetical protein	P-unknown
fferm_ms_11_32				unknown						G-unknown
fferm_ms_11_33				unknown						G-unknown
fferm_ms_11_34				unknown	VOG0682	0.0022	14.4	unknown	hypothetical protein	P-unknown
fferm_ms_11_35				unknown						G-unknown
fferm_ms_11_36				unknown						G-unknown
fferm_ms_11_37				unknown	VOG11003	6.3e-05	19.3	unknown	hypothetical protein	P-unknown
fferm_ms_11_38				unknown	VOG0375	4.9000000000000005e-06	23.3	unknown	hypothetical protein	P-unknown
fferm_ms_11_39				unknown	VOG9322	2.9e-25	85.3	unknown	HNH endonuclease	P-unknown
fferm_ms_11_40				unknown						G-unknown
fferm_ms_11_41				unknown						G-unknown
fferm_ms_11_42				unknown						G-unknown
fferm_ms_11_43				unknown						G-unknown
fferm_ms_11_44				unknown						G-unknown
fferm_ms_11_45				unknown						G-unknown
fferm_ms_11_46				unknown						G-unknown
fferm_ms_11_47				unknown						G-unknown
fferm_ms_11_48				unknown						G-unknown
fferm_ms_11_49				unknown						G-unknown
fferm_ms_11_50				unknown						G-unknown
fferm_ms_11_51				unknown						G-unknown
fferm_ms_11_52				unknown						G-unknown
fferm_ms_11_53				unknown	VOG6597	0.0016	14.7	unknown	hypothetical protein	P-unknown
fferm_ms_11_54				unknown						G-unknown
fferm_ms_11_55				unknown						G-unknown
fferm_ms_11_56				unknown	VOG11009	2.4999999999999996e-67	223.7	TROVE-like domain	putative TROVE-like domain protein	P-TROVE-like domain
fferm_ms_11_57				unknown						G-unknown
fferm_ms_11_58				unknown	VOG6401	0.0014	14.7	unknown	hypothetical protein	P-unknown
fferm_ms_11_59				unknown						G-unknown
fferm_ms_11_60				unknown						G-unknown
fferm_ms_11_61				unknown	VOG4593	0.00015	17.4	unknown	hypothetical protein	P-unknown
fferm_ms_11_62				unknown	VOG4772	2.8999999999999997e-17	59.1	mannosyl-glyco endo-beta-N-acetylglucosamidase	N-acetylmuramoyl-L-alanine amidase	P-mannosyl-glyco endo-beta-N-acetylglucosamidase
fferm_ms_11_63				unknown	VOG10904	7.1e-23	77.1	HNH endonuclease	HNH endonuclease	P-HNH endonuclease
fferm_ms_11_64	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif	VOG4548	1.4e-32	109.3	helicase	helicase	G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
fferm_ms_11_65				unknown						G-unknown
fferm_ms_11_66				unknown	VOG10912	0.00037	16.4	unknown	hypothetical protein	P-unknown
fferm_ms_11_67	gene41b	phage replicative helicase, DnaB family		unknown	VOG0025	1.1e-09	34.9	DNA helicase	putative DNA helicase	Y-phage replicative helicase, DnaB family
fferm_ms_11_68				unknown	VOG0322	5.1e-14	49.0	unknown	hypothetical protein	P-unknown
fferm_ms_11_69				unknown						G-unknown
fferm_ms_11_70				unknown						G-unknown
fferm_ms_11_71	gene45b	Uncharacterized protein 45b		unknown						Y-Uncharacterized protein 45b
fferm_ms_11_72				unknown	VOG10904	4e-12	41.7	HNH endonuclease	HNH endonuclease	P-HNH endonuclease
fferm_ms_11_73	primase	DnaG family primase	replication	putative DnaG family primase	VOG4551	2.6e-09	33.8	DNA primase	DNA primase	G-putative DnaG family primase
fferm_ms_11_74				unknown						G-unknown
fferm_ms_11_75				unknown						G-unknown
fferm_ms_11_76				unknown						G-unknown
fferm_ms_11_77				unknown						G-unknown
fferm_ms_11_78				unknown						G-unknown
fferm_ms_11_79	UDG	UDG	replication	putative Uracyl-DNA glycosylase						G-putative Uracyl-DNA glycosylase
fferm_ms_11_80				unknown	VOG6936	0.0051	12.8	unknown	hypothetical protein	P-unknown
fferm_ms_11_81	gene48b	Uncharacterized protein 48b		unknown	VOG0536	1.5e-15	53.7	unknown	hypothetical protein	Y-Uncharacterized protein 48b
fferm_ms_11_82				unknown	VOG9773	0.0027	14.2	unknown	unknown	P-unknown
fferm_ms_11_83	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG4708	9.7e-21	70.7	exodeoxyribonuclease VIII	RecE	G-putative PD-(D/E)XK superfamily nuclease
fferm_ms_11_84				unknown	VOG0420	1.8e-39	131.5	anaerobic NTP reductase large subunit	anaerobic NTP reductase large subunit	P-anaerobic NTP reductase large subunit
fferm_ms_11_85				unknown	VOG0686	1.2e-15	53.5	unknown	hypothetical protein	P-unknown
fferm_ms_11_86				unknown	VOG10904	6.7e-12	41.0	HNH endonuclease	HNH endonuclease	P-HNH endonuclease
fferm_ms_11_87				unknown	VOG0085	1.7e-21	72.9	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	P-deoxyuridine 5'-triphosphate nucleotidohydrolase
fferm_ms_11_88				unknown						G-unknown
fferm_ms_11_89				unknown						G-unknown
fferm_ms_11_90	gene9_BCSF01000238			unknown	VOG0026	1.1999999999999998e-74	248.5	DNA polymerase	DNA polymerase	P-DNA polymerase
fferm_ms_11_90	PolA	PolA		unknown	VOG0026	1.1999999999999998e-74	248.5	DNA polymerase	DNA polymerase	Y-PolA
fferm_ms_11_91				unknown	VOG7113	1.4999999999999999e-05	21.0	unknown	hypothetical protein	P-unknown
fferm_ms_11_92				unknown	VOG4966	1.1000000000000001e-30	102.2	unknown	hypothetical protein	P-unknown
fferm_ms_11_93				unknown	VOG4679	4.5e-12	41.1	unknown	hypothetical protein	P-unknown
fferm_ms_11_94				unknown						G-unknown
fferm_ms_11_95				unknown	VOG2545	0.00042	16.4	unknown	hypothetical protein	P-unknown
fferm_ms_11_96	ThyX			unknown	VOG4561	8.000000000000001e-29	97.1	thymidylate synthase	thymidylate synthase	P-thymidylate synthase
fferm_ms_11_97				unknown	VOG1857	5.5e-05	19.5	unknown	hypothetical protein	P-unknown
fferm_ms_11_98				unknown						G-unknown
fferm_ms_11_99				unknown	VOG6524	4.6e-05	19.5	unknown	hypothetical protein	P-unknown
fferm_ms_11_100				unknown						G-unknown
fferm_ms_11_101				unknown	VOG3903	2e-35	117.7	unknown	hypothetical protein	P-unknown
fferm_ms_11_102				unknown	VOG5647	0.0083	12.5	unknown	hypothetical protein	P-unknown
fferm_ms_11_103				unknown	VOG1134	5.2e-08	29.1	unknown	hypothetical protein	P-unknown
fferm_ms_11_104				unknown	VOG5602	0.0017	14.2	unknown	hypothetical protein	P-unknown
fferm_ms_11_105	gene49	Uncharacterized protein		unknown	VOG2669	0.0035	13.6	unknown	hypothetical protein	P-unknown
fferm_ms_11_106	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog						G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
fferm_ms_11_107	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
fferm_ms_11_108				unknown						G-unknown
fferm_ms_11_109				unknown						G-unknown
hvcf_a6_ms_4_1				unknown	VOG7458	0.0026	13.7	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_2	gene49	Uncharacterized protein		unknown						Y-Uncharacterized protein
hvcf_a6_ms_4_3				unknown	VOG6076	0.0014	14.4	DNA pilot  VP2	DNA pilot protein VP2	P-DNA pilot  VP2
hvcf_a6_ms_4_4	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG1677	0.001	15.2	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
hvcf_a6_ms_4_5	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
hvcf_a6_ms_4_6				unknown						G-unknown
hvcf_a6_ms_4_7	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
hvcf_a6_ms_4_8				unknown	VOG1726	0.00041	15.7	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_9				unknown						G-unknown
hvcf_a6_ms_4_10				unknown	VOG6665	0.037000000000000005	10.4	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_11				unknown	VOG7245	0.0086	12.4	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_12				unknown	VOG5664	0.0023	13.9	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_13				unknown						G-unknown
hvcf_a6_ms_4_14				unknown						G-unknown
hvcf_a6_ms_4_15				unknown	VOG5504	9.1e-12	41.6	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_16				unknown	VOG4857	0.12	8.7	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_17				unknown						G-unknown
hvcf_a6_ms_4_18				unknown						G-unknown
hvcf_a6_ms_4_19				unknown	VOG6167	0.0027	14.1	complement inhibitor SCIN	complement inhibitor SCIN	P-complement inhibitor SCIN
hvcf_a6_ms_4_20				unknown						G-unknown
hvcf_a6_ms_4_21				unknown						G-unknown
hvcf_a6_ms_4_22				unknown						G-unknown
hvcf_a6_ms_4_23				unknown	VOG3531	0.0049	13.6	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_24	gene73	putative structural protein	assembly	putative Tail sheath protein	VOG9313	0.0034	13.7	unknown	hypothetical protein	G-putative Tail sheath protein
hvcf_a6_ms_4_25	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
hvcf_a6_ms_4_26	gene75	putative structural protein	assembly.capsid	unknown	VOG7962	0.0062	13.0	holin	putative holin	Y-putative structural protein
hvcf_a6_ms_4_27	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
hvcf_a6_ms_4_28	gene77	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
hvcf_a6_ms_4_29	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
hvcf_a6_ms_4_30	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
hvcf_a6_ms_4_31				unknown	VOG6204	0.0067	12.6	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_32				unknown	VOG10559	0.00011	18.2	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_33				unknown	VOG0992	3.7e-29	97.8	endolysin	putative endolysin	P-endolysin
hvcf_a6_ms_4_34				unknown	VOG0992	5.3e-08	28.9	endolysin	putative endolysin	P-endolysin
hvcf_a6_ms_4_35	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG2848	1.7999999999999998e-68	227.0	AddA-like	AddA-like protein	G-putative PD-(D/E)XK superfamily nuclease
hvcf_a6_ms_4_36				unknown	VOG5616	1.2e-13	47.1	unknown	hypothetical protein	P-unknown
hvcf_a6_ms_4_37	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
hvcf_a6_ms_4_38				unknown						G-unknown
hvcf_a6_ms_4_39				unknown						G-unknown
hvcf_a6_ms_4_40				unknown	VOG5742	2.1e-05	21.0	regulatory	putative regulatory protein	P-regulatory
hvcf_a6_ms_4_41				unknown	VOG5382	0.035	10.3	unknown	hypothetical protein	P-unknown
